co_ppm,o3_ppb,no2_ppb,temperature,humidity,pm1,pm25,pm10,pm1_label,pm25_label,pm10_label,no2_label,o3_label,co_label,temperature_label,humidity_label,label_sum,risk_label
1.620889,10.0,8.209064,31.5,51,23,33,38,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,8.209064,31.5,51,22,32,37,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,8.413441,31.5,51,22,31,37,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,8.18025,31.5,51,22,31,36,1,1,0,0,0,0,1,0,3,0
1.616309,10.0,8.354565,31.5,51,23,32,36,1,1,0,0,0,0,1,0,3,0
1.609461,10.0,8.383954,31.5,51,23,32,36,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,8.428221,31.5,51,21,32,37,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,8.237974,31.5,51,21,32,37,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,8.266978,31.5,50,22,32,36,1,1,0,0,0,0,1,0,3,0
1.598107,10.0,8.354565,31.6,50,22,32,36,1,1,0,0,0,0,1,0,3,0
1.614023,10.0,8.354565,31.6,50,22,32,38,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,8.457853,31.6,50,22,32,38,1,1,0,0,0,0,1,0,3,0
1.602639,10.0,8.383954,31.6,50,22,31,36,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,8.325274,31.6,50,23,32,39,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,8.383954,31.6,50,23,33,39,1,1,0,0,0,0,1,0,3,0
1.591329,10.0,8.369247,31.6,50,22,32,36,1,1,0,0,0,0,1,0,3,0
1.60491,10.0,8.296078,31.6,50,22,32,36,1,1,0,0,0,0,1,0,3,0
1.61174,10.0,6.369128,31.6,50,22,34,38,1,1,0,0,0,0,1,0,3,0
1.672071,10.0,1.734189,31.6,50,22,33,38,1,1,0,0,0,0,1,0,3,0
1.821996,10.0,2.246699,31.6,50,23,33,38,1,1,0,0,0,1,1,0,4,1
1.804169,10.0,3.304731,31.6,50,22,32,35,1,1,0,0,0,1,1,0,4,1
1.769009,10.0,3.08812,31.6,50,21,31,33,1,1,0,0,0,1,1,0,4,1
1.892344,10.0,1.129895,31.6,50,21,31,33,1,1,0,0,0,1,1,0,4,1
1.87649,10.0,2.530977,31.6,50,22,33,35,1,1,0,0,0,1,1,0,4,1
1.83741,10.0,2.836243,31.6,50,21,31,33,1,1,0,0,0,1,1,0,4,1
1.786507,10.0,3.272137,31.6,50,21,31,33,1,1,0,0,0,1,1,0,4,1
1.741838,10.0,3.848179,31.6,50,21,31,35,1,1,0,0,0,0,1,0,3,0
1.741838,10.0,3.968214,31.5,50,22,31,34,1,1,0,0,0,0,1,0,3,0
1.756609,10.0,3.745619,31.5,50,22,31,34,1,1,0,0,0,1,1,0,4,1
1.741838,10.0,4.146188,31.5,50,23,32,36,1,1,0,0,0,0,1,0,3,0
1.741838,10.0,3.953043,31.5,50,22,31,32,1,1,0,0,0,0,1,0,3,0
1.741838,10.0,4.068009,31.5,50,22,32,34,1,1,0,0,0,0,1,0,3,0
1.769009,10.0,3.975817,31.5,50,22,32,36,1,1,0,0,0,1,1,0,4,1
1.749209,10.0,3.975817,31.5,50,22,32,36,1,1,0,0,0,1,1,0,4,1
1.741838,10.0,4.355355,31.5,50,22,32,36,1,1,0,0,0,0,1,0,3,0
3.53394,10.0,3.547208,31.5,50,23,32,34,1,1,0,0,0,1,1,0,4,1
2.164402,10.0,4.265809,31.6,50,23,32,34,1,1,0,0,0,1,1,0,4,1
2.856108,10.0,4.20963,31.6,52,23,32,34,1,1,0,0,0,1,1,0,4,1
2.996383,10.0,4.290076,31.6,53,22,32,34,1,1,0,0,0,1,1,0,4,1
2.17046,10.0,4.908572,31.6,55,22,32,35,1,1,0,0,0,1,1,0,4,1
2.913001,10.0,4.642239,31.6,56,23,33,36,1,1,0,0,0,1,1,1,5,2
2.104734,10.0,5.093322,31.6,57,23,33,36,1,1,0,0,0,1,1,1,5,2
1.998586,10.0,5.197473,31.6,57,22,32,35,1,1,0,0,0,1,1,1,5,2
1.894999,10.0,5.046581,31.6,57,22,31,33,1,1,0,0,0,1,1,1,5,2
1.824556,10.0,4.917671,31.6,55,22,31,34,1,1,0,0,0,1,1,0,4,1
1.786507,10.0,5.074581,31.6,54,22,31,34,1,1,0,0,0,1,1,0,4,1
1.749209,10.0,5.293757,31.5,53,23,33,37,1,1,0,0,0,1,1,0,4,1
1.739388,10.0,5.293757,31.5,52,23,33,37,1,1,0,0,0,0,1,0,3,0
1.724753,10.0,5.245421,31.5,51,23,33,36,1,1,0,0,0,0,1,0,3,0
1.710233,10.0,5.130984,31.4,51,23,32,37,1,1,0,0,0,0,1,0,3,0
1.705419,10.0,5.352268,31.4,51,23,32,37,1,1,0,0,0,0,1,0,3,0
1.693438,10.0,5.411343,31.4,51,22,32,36,1,1,0,0,0,0,1,0,3,0
1.688667,10.0,5.371898,31.4,51,22,31,35,1,1,0,0,0,0,1,0,3,0
1.669712,10.0,5.352268,31.4,51,22,32,36,1,1,0,0,0,0,1,0,3,0
1.667357,10.0,5.342477,31.4,51,21,32,36,1,1,0,0,0,0,1,0,3,0
1.681536,10.0,5.226196,31.4,51,23,35,38,1,1,0,0,0,0,1,0,3,0
1.657966,10.0,5.391588,31.4,51,23,34,37,1,1,0,0,0,0,1,0,3,0
1.653288,10.0,5.401459,31.4,51,23,33,36,1,1,0,0,0,0,1,0,3,0
1.616309,10.0,6.04527,31.3,51,23,33,37,1,1,0,0,0,0,1,0,3,0
1.607183,10.0,6.155241,31.3,51,22,32,34,1,1,0,0,0,0,1,0,3,0
1.602639,10.0,6.144164,31.3,51,22,31,34,1,1,0,0,0,0,1,0,3,0
